alt;neu;thema_neu;art
Anstieg einer linearen Funktion aus Punkt und y-Achsenabschnitt berechnen;Geradengleichung aus Punkt und einem Parameter bestimmen;;zusammenziehen
Lineare Funktion aus Steigung und Schnittbedingung bestimmen;Geradengleichung aus Punkt und einem Parameter bestimmen;;zusammenziehen
Prozentualen Zuwachs aus Anfangs- und Endwert berechnen;Prozentuale Veränderung berechnen;;zusammenziehen
Prozentuale Abweichung eines Werts von einem Vergleichswert berechnen;Prozentuale Veränderung berechnen;;zusammenziehen
Prozentuale Abweichung einer Modellfläche von der tatsächlichen Fläche berechnen;Prozentuale Veränderung berechnen;;zusammenziehen
Gesamtmenge aus Pro-Kopf-Angabe, Anteil und Einwohnerzahl berechnen;Gesamtmenge aus Pro-Kopf-Angabe berechnen;;umbenennen
Funktionswerte einer Parabel im Sachkontext berechnen;Funktionswert berechnen;;zusammenziehen
x-Werte einer quadratischen Funktion zu gegebenem Funktionswert berechnen;Argument zu Funktionswert berechnen;;zusammenziehen
Parabelgleichung aus Spannweite und Höhe eines Bogens bestimmen;Parabelgleichung aus Scheitel und Punkt bestimmen;;zusammenziehen
Schnittpunktanzahl von Graphen begründen;Anzahl gemeinsamer Punkte zweier Graphen begründen;;umbenennen
Fehlende Schnittpunkte zweier Funktionen über Wertebereiche begründen;Anzahl gemeinsamer Punkte zweier Graphen begründen;;zusammenziehen
Schnittpunktgleichung zweier Parabeln herleiten;Schnittpunkte zweier Parabeln berechnen;;umbenennen
Parabelgleichung aus zwei Nullstellen aufstellen und Nullstellen bestätigen;Parabelgleichung aus Nullstellen aufstellen;;umbenennen
Aussage über eine mehrfach gebrochene Streckenteilung prüfen;Aussage über Bruchteile einer Größe prüfen;;umbenennen
Maximale ganzzahlige Menge aus Grenzwert berechnen;Ganzzahlige Anzahl aus Grenzwert bestimmen;Runden und Überschlag;umbenennen
Anzahl Objekte aus Masse und Tragfähigkeit berechnen;Ganzzahlige Anzahl aus Grenzwert bestimmen;;zusammenziehen
Transportanzahl aus Volumen und Masse berechnen;Ganzzahlige Anzahl aus Grenzwert bestimmen;;zusammenziehen
Winkel im allgemeinen Dreieck über Sinussatz berechnen;Sinussatz Winkel berechnen;;zusammenziehen
Winkel im allgemeinen Dreieck über Kosinussatz berechnen;Kosinussatz Winkel berechnen;;umbenennen
Seite im allgemeinen Dreieck über Kosinussatz berechnen;Kosinussatz Seite berechnen;;umbenennen
Seite im rechtwinkligen Dreieck aus Winkel und Kathete berechnen;Seite im rechtwinkligen Dreieck berechnen;;zusammenziehen
Winkel eines Drachenvierecks aus Diagonalenabschnitten berechnen;Winkel im rechtwinkligen Dreieck berechnen;;zusammenziehen
Höhe eines Drachenvierecks aus geteiltem Winkel und Diagonalen berechnen;Diagonale eines Drachenvierecks über Winkelfunktion berechnen;;umbenennen
Formel für die Tiefe eines Kegels aus Durchmesser und Öffnungswinkel herleiten;Formel über Winkelfunktion herleiten;;umbenennen
Trapezhöhe über den aus einem angrenzenden Dreieck übertragenen Winkel berechnen;Seite im rechtwinkligen Dreieck berechnen;;zusammenziehen
Graph einer trigonometrischen Funktion durch Streckung und Verschiebung beschreiben;Transformation einer trigonometrischen Funktion beschreiben;;umbenennen
Masse eines zusammengesetzten Körpers berechnen;Volumen zusammengesetzter Körper berechnen;;umbenennen
Volumen eines aus Kegel und Halbkugel zusammengesetzten Körpers mit Nebenbedingung berechnen;Volumen zusammengesetzter Körper berechnen;;zusammenziehen
Kantenlänge einer quadratischen Grundfläche aus Volumen berechnen;Grundkante aus Volumen berechnen;;umbenennen
Kugeldurchmesser aus Anzahl nebeneinanderliegender Kugeln bestimmen;Kugeldurchmesser aus Anordnung bestimmen;;umbenennen
Kantensumme eines Quaders mit Seitenlängen in Abhängigkeit von der Höhe berechnen;Term zu Körper angeben;;zusammenziehen
Durchmesser einer Halbkugel aus der Oberfläche berechnen;Kugelmaß aus Oberfläche berechnen;;umbenennen
Fläche zweier Mantelflächen eines Prismas mit trapezförmiger Grundfläche berechnen;Mantelfläche Prisma berechnen;;zusammenziehen
Wahrscheinlichkeit für die Position des ersten Treffers berechnen;Wahrscheinlichkeit mehrstufig ohne Zurücklegen;;zusammenziehen
Länge auf der Mantellinie eines Kegels bei Teilfüllung über Ähnlichkeit bestimmen;Streckenlänge über Ähnlichkeit berechnen;;umbenennen
Grundstücksbreiten aus einem in Teilflächen zerlegten Trapez bestimmen;Streckenlänge über Ähnlichkeit berechnen;;zusammenziehen
